id_istance,predicted linking,correct linking
123,"@Override
protected Dialog onCreateDialog(int id) {
switch (id) {
case EXIT_ECM_BLOCK_OTHERS:
case EXIT_ECM_DIALOG:
CharSequence text = getDialogText(mEcmTimeout);
mAlertDialog = new AlertDialog.Builder(EmergencyCallbackModeExitDialog.this)
.setIcon(R.drawable.picture_emergency32x32)
.setTitle(R.string.phone_in_ecm_notification_title)
.setMessage(text)
<start>.setPositiveButton(R.string.alert_dialog_yes,
new DialogInterface.OnClickListener() {
public void onClick(DialogInterface dialog,int whichButton) {<end>
//comment
mPhone.exitEmergencyCallbackMode();

//comment
<start>showDialog(EXIT_ECM_PROGRESS_DIALOG);
mTimer.cancel();<end>
}
})
.setNegativeButton(R.string.alert_dialog_no,
new DialogInterface.OnClickListener() {
public void onClick(DialogInterface dialog, int whichButton) {
//comment
setResult(RESULT_OK, (new Intent()).putExtra(
EXTRA_EXIT_ECM_RESULT, false));
finish();
}
}).create();
mAlertDialog.setOnDismissListener(this);
return mAlertDialog;

case EXIT_ECM_IN_EMERGENCY_CALL_DIALOG:
mAlertDialog = new AlertDialog.Builder(EmergencyCallbackModeExitDialog.this)
.setIcon(R.drawable.picture_emergency32x32)
.setTitle(R.string.phone_in_ecm_notification_title)
.setMessage(R.string.alert_dialog_in_ecm_call)
.setNeutralButton(R.string.alert_dialog_dismiss,
new DialogInterface.OnClickListener() {
public void onClick(DialogInterface dialog, int whichButton) {
//comment
setResult(RESULT_OK, (new Intent()).putExtra(
EXTRA_EXIT_ECM_RESULT, false));
finish();
}
}).create();
mAlertDialog.setOnDismissListener(this);
return mAlertDialog;

case EXIT_ECM_PROGRESS_DIALOG:
mProgressDialog = new ProgressDialog(EmergencyCallbackModeExitDialog.this);
mProgressDialog.setMessage(getText(R.string.progress_dialog_exiting_ecm));
mProgressDialog.setIndeterminate(true);
mProgressDialog.setCancelable(false);
return mProgressDialog;

default:
return null;
}
}","@Override
protected Dialog onCreateDialog(int id) {
switch (id) {
case EXIT_ECM_BLOCK_OTHERS:
case EXIT_ECM_DIALOG:
CharSequence text = getDialogText(mEcmTimeout);
mAlertDialog = new AlertDialog.Builder(EmergencyCallbackModeExitDialog.this)
.setIcon(R.drawable.picture_emergency32x32)
.setTitle(R.string.phone_in_ecm_notification_title)
.setMessage(text)
.setPositiveButton(R.string.alert_dialog_yes,
new DialogInterface.OnClickListener() {
public void onClick(DialogInterface dialog,int whichButton) {
//comment
mPhone.exitEmergencyCallbackMode();

//comment
<start>showDialog(EXIT_ECM_PROGRESS_DIALOG);<end>
mTimer.cancel();
}
})
.setNegativeButton(R.string.alert_dialog_no,
new DialogInterface.OnClickListener() {
public void onClick(DialogInterface dialog, int whichButton) {
//comment
setResult(RESULT_OK, (new Intent()).putExtra(
EXTRA_EXIT_ECM_RESULT, false));
finish();
}
}).create();
mAlertDialog.setOnDismissListener(this);
return mAlertDialog;

case EXIT_ECM_IN_EMERGENCY_CALL_DIALOG:
mAlertDialog = new AlertDialog.Builder(EmergencyCallbackModeExitDialog.this)
.setIcon(R.drawable.picture_emergency32x32)
.setTitle(R.string.phone_in_ecm_notification_title)
.setMessage(R.string.alert_dialog_in_ecm_call)
.setNeutralButton(R.string.alert_dialog_dismiss,
new DialogInterface.OnClickListener() {
public void onClick(DialogInterface dialog, int whichButton) {
//comment
setResult(RESULT_OK, (new Intent()).putExtra(
EXTRA_EXIT_ECM_RESULT, false));
finish();
}
}).create();
mAlertDialog.setOnDismissListener(this);
return mAlertDialog;

case EXIT_ECM_PROGRESS_DIALOG:
mProgressDialog = new ProgressDialog(EmergencyCallbackModeExitDialog.this);
mProgressDialog.setMessage(getText(R.string.progress_dialog_exiting_ecm));
mProgressDialog.setIndeterminate(true);
mProgressDialog.setCancelable(false);
return mProgressDialog;

default:
return null;
}
}"
124,"    @Override
public void onDestroy() {
getListView().setOnCreateContextMenuListener(null);
super.onDestroy();
CatLog.d(LOG_TAG, ""onDestroy"" + "", "" + mState);
if (appService == null || !SubscriptionManager.isValidSlotIndex(mSlotId)) {
<start>return;<end>
}
//comment
//comment
if (mState == STATE_SECONDARY && !mIsResponseSent && !appService.isMenuPending(mSlotId)) {
//comment
//comment
if (!isChangingConfigurations()) {
<start>CatLog.d(LOG_TAG, ""handleDestroy - Send End Session"");<end>
sendResponse(StkAppService.RES_ID_END_SESSION);
}
}
cancelTimeOut();
LocalBroadcastManager.getInstance(this).unregisterReceiver(mLocalBroadcastReceiver);
}","    @Override
public void onDestroy() {
getListView().setOnCreateContextMenuListener(null);
super.onDestroy();
CatLog.d(LOG_TAG, ""onDestroy"" + "", "" + mState);
if (appService == null || !SubscriptionManager.isValidSlotIndex(mSlotId)) {
return;
}
//comment
//comment
if (mState == STATE_SECONDARY && !mIsResponseSent && !appService.isMenuPending(mSlotId)) {
//comment
//comment
<start>if (!isChangingConfigurations()) {
CatLog.d(LOG_TAG, ""handleDestroy - Send End Session"");
sendResponse(StkAppService.RES_ID_END_SESSION);
}<end>
}
cancelTimeOut();
LocalBroadcastManager.getInstance(this).unregisterReceiver(mLocalBroadcastReceiver);
}"
126,"    @Override
public void onActivityResult(int requestCode, int resultCode, Intent data) {
switch (requestCode) {
case CHOOSE_ACCOUNT_REQUEST:
if (resultCode == RESULT_CANCELED) {
setResult(resultCode);
finish();
return;
}
//comment
addAccount(data.getStringExtra(EXTRA_SELECTED_ACCOUNT));
break;
case ADD_ACCOUNT_REQUEST:
setResult(resultCode);
if (mPendingIntent != null) {
mPendingIntent.cancel();
mPendingIntent = null;
}
finish();
break;
}
}","    @Override
public void onActivityResult(int requestCode, int resultCode, Intent data) {
<start>switch (requestCode) {
case CHOOSE_ACCOUNT_REQUEST:
if (resultCode == RESULT_CANCELED) {
setResult(resultCode);
finish();
return;
}
//comment
addAccount(data.getStringExtra(EXTRA_SELECTED_ACCOUNT));
break;<end>
case ADD_ACCOUNT_REQUEST:
setResult(resultCode);
if (mPendingIntent != null) {
mPendingIntent.cancel();
mPendingIntent = null;
}
finish();
break;
}
}"
127,"    void updateTimes() {
Iterator<ActiveItem> it = mActiveItems.values().iterator();
while (it.hasNext()) {
ActiveItem ai = it.next();
if (ai.mRootView.getWindowToken() == null) {
//comment
it.remove();
continue;
}
<start>ai.updateTime(getContext(), mBuilder);<end>
}
}","    void updateTimes() {
Iterator<ActiveItem> it = mActiveItems.values().iterator();
while (it.hasNext()) {
ActiveItem ai = it.next();
<start>if (ai.mRootView.getWindowToken() == null) {
//comment
it.remove();
continue;
}<end>
ai.updateTime(getContext(), mBuilder);
}
}"
128,"String sendComplexCommand(List<String> commands, boolean sensitive) throws MessagingException,
IOException {
open();
String tag = Integer.toString(mNextCommandTag.incrementAndGet());
int len = commands.size();
for (int i = 0; i < len; i++) {
String commandToSend = commands.get(i);
//comment
if (i == 0) {
commandToSend = tag + "" "" + commandToSend;
} else {
//comment
<start>ImapResponse response = readResponse();<end>
//comment
if (!response.isContinuationRequest()) {
throw new MessagingException(""Expected continuation request"");
}
}
//comment
mTransport.writeLine(commandToSend, null);
mDiscourse.addSentCommand(sensitive ? IMAP_REDACTED_LOG : commandToSend);
}
return tag;
}","String sendComplexCommand(List<String> commands, boolean sensitive) throws MessagingException,
IOException {
open();
String tag = Integer.toString(mNextCommandTag.incrementAndGet());
int len = commands.size();
for (int i = 0; i < len; i++) {
String commandToSend = commands.get(i);
//comment
if (i == 0) {
commandToSend = tag + "" "" + commandToSend;
<start>} else {
//comment
ImapResponse response = readResponse();<end>
//comment
if (!response.isContinuationRequest()) {
throw new MessagingException(""Expected continuation request"");
}
<start>}<end>
//comment
mTransport.writeLine(commandToSend, null);
mDiscourse.addSentCommand(sensitive ? IMAP_REDACTED_LOG : commandToSend);
}
return tag;
}"
129,"@UsedForTesting
public static int getTerminalPosition(final FusionDictionaryBufferInterface buffer,
final String word) throws IOException, UnsupportedFormatException {
if (word == null) return FormatSpec.NOT_VALID_WORD;
if (buffer.position() != 0) buffer.position(0);

final FileHeader header = BinaryDictInputOutput.readHeader(buffer);
int wordPos = 0;
final int wordLen = word.codePointCount(0, word.length());
for (int depth = 0; depth < Constants.Dictionary.MAX_WORD_LENGTH; ++depth) {
if (wordPos >= wordLen) return FormatSpec.NOT_VALID_WORD;

do {
final int charGroupCount = BinaryDictInputOutput.readCharGroupCount(buffer);
boolean foundNextCharGroup = false;
for (int i = 0; i < charGroupCount; ++i) {
final int charGroupPos = buffer.position();
final CharGroupInfo currentInfo = BinaryDictInputOutput.readCharGroup(buffer,
buffer.position(), header.mFormatOptions);
final boolean isMovedGroup =
BinaryDictInputOutput.isMovedGroup(currentInfo.mFlags,
header.mFormatOptions);
final boolean isDeletedGroup =
BinaryDictInputOutput.isDeletedGroup(currentInfo.mFlags,
header.mFormatOptions);
if (isMovedGroup) continue;
boolean same = true;
for (int p = 0, j = word.offsetByCodePoints(0, wordPos);
p < currentInfo.mCharacters.length;
++p, j = word.offsetByCodePoints(j, 1)) {
if (wordPos + p >= wordLen
|| word.codePointAt(j) != currentInfo.mCharacters[p]) {
same = false;
break;
}
}

if (same) {
//comment
if (wordPos + currentInfo.mCharacters.length == wordLen) {
if (currentInfo.mFrequency == CharGroup.NOT_A_TERMINAL
<start>|| isDeletedGroup) {<end>
return FormatSpec.NOT_VALID_WORD;
} else {
return charGroupPos;
}
}
wordPos += currentInfo.mCharacters.length;
if (currentInfo.mChildrenAddress == FormatSpec.NO_CHILDREN_ADDRESS) {
return FormatSpec.NOT_VALID_WORD;
}
foundNextCharGroup = true;
buffer.position(currentInfo.mChildrenAddress);
break;
}
}

//comment
//comment
//comment
//comment
if (foundNextCharGroup) break;
if (!header.mFormatOptions.mSupportsDynamicUpdate) {
return FormatSpec.NOT_VALID_WORD;
}

final int forwardLinkAddress = buffer.readUnsignedInt24();
if (forwardLinkAddress == FormatSpec.NO_FORWARD_LINK_ADDRESS) {
return FormatSpec.NOT_VALID_WORD;
}
buffer.position(forwardLinkAddress);
} while(true);
}
return FormatSpec.NOT_VALID_WORD;
}","@UsedForTesting
public static int getTerminalPosition(final FusionDictionaryBufferInterface buffer,
final String word) throws IOException, UnsupportedFormatException {
if (word == null) return FormatSpec.NOT_VALID_WORD;
if (buffer.position() != 0) buffer.position(0);

final FileHeader header = BinaryDictInputOutput.readHeader(buffer);
int wordPos = 0;
final int wordLen = word.codePointCount(0, word.length());
for (int depth = 0; depth < Constants.Dictionary.MAX_WORD_LENGTH; ++depth) {
if (wordPos >= wordLen) return FormatSpec.NOT_VALID_WORD;

do {
final int charGroupCount = BinaryDictInputOutput.readCharGroupCount(buffer);
boolean foundNextCharGroup = false;
for (int i = 0; i < charGroupCount; ++i) {
final int charGroupPos = buffer.position();
final CharGroupInfo currentInfo = BinaryDictInputOutput.readCharGroup(buffer,
buffer.position(), header.mFormatOptions);
final boolean isMovedGroup =
BinaryDictInputOutput.isMovedGroup(currentInfo.mFlags,
header.mFormatOptions);
final boolean isDeletedGroup =
BinaryDictInputOutput.isDeletedGroup(currentInfo.mFlags,
header.mFormatOptions);
if (isMovedGroup) continue;
boolean same = true;
for (int p = 0, j = word.offsetByCodePoints(0, wordPos);
p < currentInfo.mCharacters.length;
++p, j = word.offsetByCodePoints(j, 1)) {
if (wordPos + p >= wordLen
|| word.codePointAt(j) != currentInfo.mCharacters[p]) {
same = false;
break;
}
}

<start>if (same) {
//comment
if (wordPos + currentInfo.mCharacters.length == wordLen) {<end>
if (currentInfo.mFrequency == CharGroup.NOT_A_TERMINAL
|| isDeletedGroup) {
return FormatSpec.NOT_VALID_WORD;
} else {
return charGroupPos;
}
}
wordPos += currentInfo.mCharacters.length;
if (currentInfo.mChildrenAddress == FormatSpec.NO_CHILDREN_ADDRESS) {
return FormatSpec.NOT_VALID_WORD;
}
foundNextCharGroup = true;
buffer.position(currentInfo.mChildrenAddress);
break;
}
}

//comment
//comment
//comment
//comment
if (foundNextCharGroup) break;
if (!header.mFormatOptions.mSupportsDynamicUpdate) {
return FormatSpec.NOT_VALID_WORD;
}

final int forwardLinkAddress = buffer.readUnsignedInt24();
if (forwardLinkAddress == FormatSpec.NO_FORWARD_LINK_ADDRESS) {
return FormatSpec.NOT_VALID_WORD;
}
buffer.position(forwardLinkAddress);
} while(true);
}
return FormatSpec.NOT_VALID_WORD;
}"
133,"public static double calculateContrast(@ColorInt int foreground, @ColorInt int background) {
if (Color.alpha(background) != 255) {
throw new IllegalArgumentException(""background can not be translucent: #""
+ Integer.toHexString(background));
}
if (Color.alpha(foreground) < 255) {
//comment
foreground = compositeColors(foreground, background);
}

final double luminance1 = calculateLuminance(foreground) + 0.05;
final double luminance2 = calculateLuminance(background) + 0.05;

//comment
<start>return Math.max(luminance1, luminance2) / Math.min(luminance1, luminance2);<end>
}","public static double calculateContrast(@ColorInt int foreground, @ColorInt int background) {
if (Color.alpha(background) != 255) {
throw new IllegalArgumentException(""background can not be translucent: #""
+ Integer.toHexString(background));
}
if (Color.alpha(foreground) < 255) {
//comment
foreground = compositeColors(foreground, background);
}

final double luminance1 = calculateLuminance(foreground) + 0.05;
final double luminance2 = calculateLuminance(background) + 0.05;

//comment
<start>return Math.max(luminance1, luminance2) / Math.min(luminance1, luminance2);<end>
}"
142,"private void bindUi() {
Activity activity = getActivity();
if (activity == null) {
return;
}

//comment
Drawable icon = mAppPermissions.getPackageInfo().applicationInfo.loadIcon(
activity.getPackageManager());
ImageView iconView = activity.requireViewById(R.id.app_icon);
iconView.setImageDrawable(icon);

//comment
final int labelTemplateResId = isPackageUpdated()
? R.string.permission_review_title_template_update
: R.string.permission_review_title_template_install;
Spanned message = Html.fromHtml(getString(labelTemplateResId,
mAppPermissions.getAppLabel()), 0);

//comment
<start>activity.setTitle(message.toString());<end>

//comment
TextView permissionsMessageView = activity.requireViewById(
R.id.permissions_message);
permissionsMessageView.setText(message);

mContinueButton = getActivity().requireViewById(R.id.continue_button);
mContinueButton.setOnClickListener(this);

mCancelButton = getActivity().requireViewById(R.id.cancel_button);
mCancelButton.setOnClickListener(this);

if (activity.getPackageManager().arePermissionsIndividuallyControlled()) {
mMoreInfoButton = getActivity().requireViewById(
R.id.permission_more_info_button);
mMoreInfoButton.setOnClickListener(this);
mMoreInfoButton.setVisibility(View.VISIBLE);
}
}","private void bindUi() {
Activity activity = getActivity();
if (activity == null) {
return;
}

//comment
Drawable icon = mAppPermissions.getPackageInfo().applicationInfo.loadIcon(
activity.getPackageManager());
ImageView iconView = activity.requireViewById(R.id.app_icon);
iconView.setImageDrawable(icon);

//comment
final int labelTemplateResId = isPackageUpdated()
? R.string.permission_review_title_template_update
: R.string.permission_review_title_template_install;
Spanned message = Html.fromHtml(getString(labelTemplateResId,
mAppPermissions.getAppLabel()), 0);

//comment
<start>activity.setTitle(message.toString());<end>

//comment
TextView permissionsMessageView = activity.requireViewById(
R.id.permissions_message);
permissionsMessageView.setText(message);

mContinueButton = getActivity().requireViewById(R.id.continue_button);
mContinueButton.setOnClickListener(this);

mCancelButton = getActivity().requireViewById(R.id.cancel_button);
mCancelButton.setOnClickListener(this);

if (activity.getPackageManager().arePermissionsIndividuallyControlled()) {
mMoreInfoButton = getActivity().requireViewById(
R.id.permission_more_info_button);
mMoreInfoButton.setOnClickListener(this);
mMoreInfoButton.setVisibility(View.VISIBLE);
}
}"
147,"@NonNull
public SearchResultPage globalQuery(
@NonNull String queryExpression,
@NonNull SearchSpec searchSpec,
@NonNull String callerPackageName,
@Nullable VisibilityStore visibilityStore,
int callerUid,
boolean callerHasSystemAccess,
@Nullable AppSearchLogger logger)
throws AppSearchException {
long totalLatencyStartMillis = SystemClock.elapsedRealtime();
SearchStats.Builder sStatsBuilder = null;
if (logger != null) {
sStatsBuilder =
new SearchStats.Builder(SearchStats.VISIBILITY_SCOPE_GLOBAL, callerPackageName);
}

mReadWriteLock.readLock().lock();
try {
throwIfClosedLocked();

//comment
Set<String> packageFilters = new ArraySet<>(searchSpec.getFilterPackageNames());
Set<String> prefixFilters = new ArraySet<>();
if (packageFilters.isEmpty()) {
//comment
//comment
prefixFilters = mNamespaceMapLocked.keySet();
} else {
//comment
//comment
for (String prefix : mNamespaceMapLocked.keySet()) {
String packageName = getPackageName(prefix);
if (packageFilters.contains(packageName)) {
prefixFilters.add(prefix);
}
}
}

//comment
ArraySet<String> prefixedSchemaFilters = new ArraySet<>();
for (String prefix : prefixFilters) {
List<String> schemaFilters = searchSpec.getFilterSchemas();
if (schemaFilters.isEmpty()) {
//comment
prefixedSchemaFilters.addAll(mSchemaMapLocked.get(prefix).keySet());
} else {
//comment
for (int i = 0; i < schemaFilters.size(); i++) {
prefixedSchemaFilters.add(prefix + schemaFilters.get(i));
}
}
}

//comment
Iterator<String> prefixedSchemaIt = prefixedSchemaFilters.iterator();
while (prefixedSchemaIt.hasNext()) {
String prefixedSchema = prefixedSchemaIt.next();
String packageName = getPackageName(prefixedSchema);

boolean allow;
if (packageName.equals(callerPackageName)) {
//comment
allow = true;
} else if (visibilityStore == null) {
//comment
allow = false;
} else {
String databaseName = getDatabaseName(prefixedSchema);
allow =
visibilityStore.isSchemaSearchableByCaller(
packageName,
databaseName,
prefixedSchema,
callerUid,
callerHasSystemAccess);
}

if (!allow) {
prefixedSchemaIt.remove();
}
}

SearchResultPage searchResultPage =
doQueryLocked(
prefixFilters,
prefixedSchemaFilters,
queryExpression,
searchSpec,
sStatsBuilder);
addNextPageToken(callerPackageName, searchResultPage.getNextPageToken());
return searchResultPage;
} finally {
mReadWriteLock.readLock().unlock();

if (logger != null) {
sStatsBuilder.setTotalLatencyMillis(
(int) (SystemClock.elapsedRealtime() - totalLatencyStartMillis));
logger.logStats(sStatsBuilder.build());
}
}
}","@NonNull
public SearchResultPage globalQuery(
@NonNull String queryExpression,
@NonNull SearchSpec searchSpec,
@NonNull String callerPackageName,
@Nullable VisibilityStore visibilityStore,
int callerUid,
boolean callerHasSystemAccess,
@Nullable AppSearchLogger logger)
throws AppSearchException {
long totalLatencyStartMillis = SystemClock.elapsedRealtime();
SearchStats.Builder sStatsBuilder = null;
if (logger != null) {
sStatsBuilder =
new SearchStats.Builder(SearchStats.VISIBILITY_SCOPE_GLOBAL, callerPackageName);
}

mReadWriteLock.readLock().lock();
try {
throwIfClosedLocked();

//comment
Set<String> packageFilters = new ArraySet<>(searchSpec.getFilterPackageNames());
Set<String> prefixFilters = new ArraySet<>();
if (packageFilters.isEmpty()) {
//comment
//comment
prefixFilters = mNamespaceMapLocked.keySet();
} else {
//comment
//comment
for (String prefix : mNamespaceMapLocked.keySet()) {
String packageName = getPackageName(prefix);
if (packageFilters.contains(packageName)) {
prefixFilters.add(prefix);
}
}
}

//comment
ArraySet<String> prefixedSchemaFilters = new ArraySet<>();
for (String prefix : prefixFilters) {
List<String> schemaFilters = searchSpec.getFilterSchemas();
if (schemaFilters.isEmpty()) {
//comment
prefixedSchemaFilters.addAll(mSchemaMapLocked.get(prefix).keySet());
} else {
//comment
<start>for (int i = 0; i < schemaFilters.size(); i++) {
prefixedSchemaFilters.add(prefix + schemaFilters.get(i));
}<end>
}
}

//comment
Iterator<String> prefixedSchemaIt = prefixedSchemaFilters.iterator();
while (prefixedSchemaIt.hasNext()) {
String prefixedSchema = prefixedSchemaIt.next();
String packageName = getPackageName(prefixedSchema);

boolean allow;
if (packageName.equals(callerPackageName)) {
//comment
allow = true;
} else if (visibilityStore == null) {
//comment
allow = false;
} else {
String databaseName = getDatabaseName(prefixedSchema);
allow =
visibilityStore.isSchemaSearchableByCaller(
packageName,
databaseName,
prefixedSchema,
callerUid,
callerHasSystemAccess);
}

if (!allow) {
prefixedSchemaIt.remove();
}
}

SearchResultPage searchResultPage =
doQueryLocked(
prefixFilters,
prefixedSchemaFilters,
queryExpression,
searchSpec,
sStatsBuilder);
addNextPageToken(callerPackageName, searchResultPage.getNextPageToken());
return searchResultPage;
} finally {
mReadWriteLock.readLock().unlock();

if (logger != null) {
sStatsBuilder.setTotalLatencyMillis(
(int) (SystemClock.elapsedRealtime() - totalLatencyStartMillis));
logger.logStats(sStatsBuilder.build());
}
}
}"
148,"protected void updateServicePreferences() {
//comment
//comment
//comment
final ArrayList<Preference> servicePreferences =
new ArrayList<>(mServicePreferenceToPreferenceCategoryMap.keySet());
for (int i = 0; i < servicePreferences.size(); i++) {
Preference service = servicePreferences.get(i);
PreferenceCategory category = mServicePreferenceToPreferenceCategoryMap.get(service);
category.removePreference(service);
}

initializePreBundledServicesMapFromArray(CATEGORY_SCREEN_READER,
R.array.config_preinstalled_screen_reader_services);
initializePreBundledServicesMapFromArray(CATEGORY_CAPTIONS,
R.array.config_preinstalled_captions_services);
initializePreBundledServicesMapFromArray(CATEGORY_AUDIO,
R.array.config_preinstalled_audio_services);
initializePreBundledServicesMapFromArray(CATEGORY_DISPLAY,
R.array.config_preinstalled_display_services);
initializePreBundledServicesMapFromArray(CATEGORY_INTERACTION_CONTROL,
R.array.config_preinstalled_interaction_control_services);

final List<RestrictedPreference> preferenceList = getInstalledAccessibilityList(
getPrefContext());

final PreferenceCategory downloadedServicesCategory =
mCategoryToPrefCategoryMap.get(CATEGORY_DOWNLOADED_SERVICES);

for (int i = 0, count = preferenceList.size(); i < count; ++i) {
final RestrictedPreference preference = preferenceList.get(i);
final ComponentName componentName = preference.getExtras().getParcelable(
EXTRA_COMPONENT_NAME);
<start>PreferenceCategory prefCategory = downloadedServicesCategory;
//comment
if (mPreBundledServiceComponentToCategoryMap.containsKey(componentName)) {
prefCategory = mPreBundledServiceComponentToCategoryMap.get(componentName);
}<end>
prefCategory.addPreference(preference);
mServicePreferenceToPreferenceCategoryMap.put(preference, prefCategory);
}

//comment
updateCategoryOrderFromArray(CATEGORY_SCREEN_READER,
R.array.config_order_screen_reader_services);
updateCategoryOrderFromArray(CATEGORY_CAPTIONS,
R.array.config_order_captions_services);
updateCategoryOrderFromArray(CATEGORY_AUDIO,
R.array.config_order_audio_services);
updateCategoryOrderFromArray(CATEGORY_INTERACTION_CONTROL,
R.array.config_order_interaction_control_services);
updateCategoryOrderFromArray(CATEGORY_DISPLAY,
R.array.config_order_display_services);

//comment
if (downloadedServicesCategory.getPreferenceCount() == 0) {
getPreferenceScreen().removePreference(downloadedServicesCategory);
} else {
getPreferenceScreen().addPreference(downloadedServicesCategory);
}

//comment
updatePreferenceCategoryVisibility(CATEGORY_SCREEN_READER);
}","protected void updateServicePreferences() {
//comment
//comment
//comment
final ArrayList<Preference> servicePreferences =
new ArrayList<>(mServicePreferenceToPreferenceCategoryMap.keySet());
for (int i = 0; i < servicePreferences.size(); i++) {
Preference service = servicePreferences.get(i);
PreferenceCategory category = mServicePreferenceToPreferenceCategoryMap.get(service);
category.removePreference(service);
}

initializePreBundledServicesMapFromArray(CATEGORY_SCREEN_READER,
R.array.config_preinstalled_screen_reader_services);
initializePreBundledServicesMapFromArray(CATEGORY_CAPTIONS,
R.array.config_preinstalled_captions_services);
initializePreBundledServicesMapFromArray(CATEGORY_AUDIO,
R.array.config_preinstalled_audio_services);
initializePreBundledServicesMapFromArray(CATEGORY_DISPLAY,
R.array.config_preinstalled_display_services);
initializePreBundledServicesMapFromArray(CATEGORY_INTERACTION_CONTROL,
R.array.config_preinstalled_interaction_control_services);

final List<RestrictedPreference> preferenceList = getInstalledAccessibilityList(
getPrefContext());

final PreferenceCategory downloadedServicesCategory =
mCategoryToPrefCategoryMap.get(CATEGORY_DOWNLOADED_SERVICES);

for (int i = 0, count = preferenceList.size(); i < count; ++i) {
final RestrictedPreference preference = preferenceList.get(i);
final ComponentName componentName = preference.getExtras().getParcelable(
EXTRA_COMPONENT_NAME);
PreferenceCategory prefCategory = downloadedServicesCategory;
//comment
<start>if (mPreBundledServiceComponentToCategoryMap.containsKey(componentName)) {
prefCategory = mPreBundledServiceComponentToCategoryMap.get(componentName);
}<end>
prefCategory.addPreference(preference);
mServicePreferenceToPreferenceCategoryMap.put(preference, prefCategory);
}

//comment
updateCategoryOrderFromArray(CATEGORY_SCREEN_READER,
R.array.config_order_screen_reader_services);
updateCategoryOrderFromArray(CATEGORY_CAPTIONS,
R.array.config_order_captions_services);
updateCategoryOrderFromArray(CATEGORY_AUDIO,
R.array.config_order_audio_services);
updateCategoryOrderFromArray(CATEGORY_INTERACTION_CONTROL,
R.array.config_order_interaction_control_services);
updateCategoryOrderFromArray(CATEGORY_DISPLAY,
R.array.config_order_display_services);

//comment
if (downloadedServicesCategory.getPreferenceCount() == 0) {
getPreferenceScreen().removePreference(downloadedServicesCategory);
} else {
getPreferenceScreen().addPreference(downloadedServicesCategory);
}

//comment
updatePreferenceCategoryVisibility(CATEGORY_SCREEN_READER);
}"
149,"    @Override
public void onCreate(Bundle savedInstanceState) {
super.onCreate(savedInstanceState);

CatLog.d(LOG_TAG, ""onCreate - mIsResponseSent["" + mIsResponseSent + ""]"");

//comment
//comment
if (appService == null) {
CatLog.d(LOG_TAG, ""onCreate - appService is null"");
finish();
return;
}

//comment
setContentView(R.layout.stk_input);
setSupportActionBar((Toolbar) findViewById(R.id.toolbar));

if (getResources().getBoolean(R.bool.show_menu_title_only_on_menu)) {
getSupportActionBar().hide();

mMoreOptions = findViewById(R.id.more);
mMoreOptions.setVisibility(View.VISIBLE);
mMoreOptions.setOnClickListener(this);
}

//comment
mTextIn = (EditText) this.findViewById(R.id.in_text);
mPromptView = (TextView) this.findViewById(R.id.prompt);
//comment
<start>Button okButton = (Button) findViewById(R.id.button_ok);
Button cancelButton = (Button) findViewById(R.id.button_cancel);<end>
Button yesButton = (Button) findViewById(R.id.button_yes);
Button noButton = (Button) findViewById(R.id.button_no);

okButton.setOnClickListener(this);
cancelButton.setOnClickListener(this);
<start>yesButton.setOnClickListener(this);<end>
noButton.setOnClickListener(this);

mYesNoLayout = findViewById(R.id.yes_no_layout);
mNormalLayout = findViewById(R.id.normal_layout);
initFromIntent(getIntent());
appService.getStkContext(mSlotId).setPendingActivityInstance(this);
}","    @Override
public void onCreate(Bundle savedInstanceState) {
super.onCreate(savedInstanceState);

CatLog.d(LOG_TAG, ""onCreate - mIsResponseSent["" + mIsResponseSent + ""]"");

//comment
//comment
if (appService == null) {
CatLog.d(LOG_TAG, ""onCreate - appService is null"");
finish();
return;
}

//comment
setContentView(R.layout.stk_input);
setSupportActionBar((Toolbar) findViewById(R.id.toolbar));

if (getResources().getBoolean(R.bool.show_menu_title_only_on_menu)) {
getSupportActionBar().hide();

mMoreOptions = findViewById(R.id.more);
mMoreOptions.setVisibility(View.VISIBLE);
mMoreOptions.setOnClickListener(this);
}

//comment
mTextIn = (EditText) this.findViewById(R.id.in_text);
mPromptView = (TextView) this.findViewById(R.id.prompt);
//comment
<start>Button okButton = (Button) findViewById(R.id.button_ok);
Button cancelButton = (Button) findViewById(R.id.button_cancel);
Button yesButton = (Button) findViewById(R.id.button_yes);
Button noButton = (Button) findViewById(R.id.button_no);

okButton.setOnClickListener(this);
cancelButton.setOnClickListener(this);
yesButton.setOnClickListener(this);
noButton.setOnClickListener(this);<end>

mYesNoLayout = findViewById(R.id.yes_no_layout);
mNormalLayout = findViewById(R.id.normal_layout);
initFromIntent(getIntent());
appService.getStkContext(mSlotId).setPendingActivityInstance(this);
}"
